asset,correlation,cointegration_p_value,spread_volatility,target_asset
MASKUSDT,0.0003601612569330757,0.006109804957564148,0.1011633861123771,DOTUSDT
EOSUSDT,0.0006241499333781827,0.022660075983939265,0.39600923029278173,DOTUSDT
SANDUSDT,0.0008600732950609218,0.049401785821293516,1.2699918259653873,DOTUSDT
CHRUSDT,0.001806807332955565,0.025390968073346128,0.02711648282418078,DOGEUSDT
CELOUSDT,0.000951440142535496,0.026514133482079417,0.04508296361413889,DOGEUSDT
EOSUSDT,0.0020284893086507864,0.029183157335711432,0.4909188872368259,DOGEUSDT
DASHUSDT,-1.7640326099509396e-05,0.0025440224938397815,0.006518040335162438,ADAUSDT
PERPUSDT,0.0014187207760663894,0.004855875905380514,0.009158707065251848,ADAUSDT
ACHUSDT,0.00024977979010358244,0.004969569179422173,0.00544228570432646,ADAUSDT
CHRUSDT,-0.0009160299781162217,0.009569046064254499,0.019621923481376667,ADAUSDT
TRXUSDT,0.528880455096401,0.012397641665322121,0.009012904625127634,ADAUSDT
CELOUSDT,0.0005852390702498528,0.014405335698547355,0.03610568318042813,ADAUSDT
APTUSDT,-6.427603074875172e-05,0.02063370858409573,0.00994883297063078,ADAUSDT
EOSUSDT,0.0012506524731326807,0.0333905323418856,0.4936395801196355,ADAUSDT
XRPUSDT,0.4588781431334375,0.037235400603612634,0.011635008760328207,ADAUSDT
PERPUSDT,0.001505528885725302,0.0035428215911834145,0.020391424723694707,XRPUSDT
DASHUSDT,0.001548382256662942,0.0040410035018886405,0.018162512385043808,XRPUSDT
APTUSDT,0.0002181047272832539,0.004700890139188053,0.018369356664713097,XRPUSDT
TRXUSDT,0.560908143019944,0.004945244283062251,0.019957603604915893,XRPUSDT
ACHUSDT,0.0012205127753429983,0.007182621678768047,0.016916097768382002,XRPUSDT
ALGOUSDT,0.0014064586013200764,0.00765732119301014,0.019756531107159296,XRPUSDT
ADAUSDT,0.6063607116161921,0.018378421034525565,0.016691888489813653,XRPUSDT
BCHUSDT,0.002645421692519266,0.02630997710060392,0.0140456691604731,XRPUSDT
BANDUSDT,0.0010153488045318339,0.026541505915576614,0.025684841686155573,XRPUSDT
EOSUSDT,0.0018017904394162772,0.03558751918236817,0.49401452143452734,XRPUSDT
CHRUSDT,-0.00037453289791361397,0.00715612450925309,0.025916358960628282,TRXUSDT
XRPUSDT,0.41554592282626807,0.01013280609133713,0.023049348861350648,TRXUSDT
CELOUSDT,0.0007149982801544298,0.020275681976856,0.04547866678934157,TRXUSDT
EOSUSDT,0.0020450659797281957,0.032415862671943615,0.5002075263660427,TRXUSDT
ADAUSDT,0.4588781431334375,0.037235400603612634,0.011635008760328207,TRXUSDT
XRPUSDT,0.560908143019944,0.004945244283062251,0.019957603604915893,XLMUSDT
CHRUSDT,-0.0004951851857980825,0.005287468292113382,0.02417249006201442,XLMUSDT
ADAUSDT,0.528880455096401,0.012397641665322121,0.009012904625127634,XLMUSDT
CELOUSDT,-0.00045363771738278177,0.017422037337169117,0.04334032698709903,XLMUSDT
EOSUSDT,0.001038599513845922,0.032057933284594914,0.49860213655229024,XLMUSDT
SANDUSDT,0.4075323013599897,0.004011856655368509,1.6013990411441517,APTUSDT
EOSUSDT,0.523093489332309,0.004386185385442602,0.6397383594828508,APTUSDT
LTCUSDT,0.5281076745990033,0.01293397218312183,0.6847282259727089,APTUSDT
XRPUSDT,0.00021810472728325388,0.004700890139188053,0.018369356664713097,VIDTUSDT
CHRUSDT,0.13137218337719941,0.02008129383559973,0.026986935255903316,VIDTUSDT
ADAUSDT,-6.427603074875172e-05,0.02063370858409573,0.00994883297063078,VIDTUSDT
CELOUSDT,0.1469625206512735,0.02355840603507815,0.04448124672167272,VIDTUSDT
EOSUSDT,0.15903532199817957,0.033532697446820144,0.5015710459293207,VIDTUSDT
SANDUSDT,-0.00021878336330356,0.02197085944035023,1.1162604587135734,AVAXUSDT
APTUSDT,0.5281076745990033,0.01293397218312183,0.6847282259727089,LINKUSDT
ALGOUSDT,0.5659911765999619,0.00866169191010492,0.009251807436034779,EOSUSDT
ACHUSDT,0.4311992606933196,0.016683943378649993,0.007275374761275519,EOSUSDT
CELOUSDT,0.4574613517602404,0.018463447859096288,0.0337484879431814,EOSUSDT
CHRUSDT,0.42139015381900075,0.02465537273038461,0.019172042254750925,EOSUSDT
XRPUSDT,0.002645421692519266,0.02630997710060392,0.0140456691604731,EOSUSDT
APTUSDT,0.5230934893323089,0.004386185385442602,0.6397383594828508,ETCUSDT
MASKUSDT,0.4610171478104104,0.020170313716062822,0.47112191826113764,ETCUSDT
DOTUSDT,0.0006241499333781826,0.022660075983939265,0.39600923029278173,ETCUSDT
ALPHAUSDT,0.4344483446221992,0.02548213444378592,0.4662537832589792,ETCUSDT
