asset,correlation,cointegration_p_value,spread_volatility
SANDUSDT,0.5629042551810047,0.008362973155698094,0.036152862042231566
ACHUSDT,0.4349606836845791,0.012234357848864537,0.0373477876403064
ADAUSDT,0.0005852390702498528,0.014405335698547355,0.03610568318042813
PERPUSDT,0.37404134041623055,0.016028358556077798,0.043888697594305665
ALGOUSDT,0.5147453166280335,0.016146721816983758,0.04120597126984665
XLMUSDT,-0.00045363771738278177,0.017422037337169117,0.04334032698709903
CHRUSDT,0.42365263738147024,0.018055952881728884,0.030154838227663402
EOSUSDT,0.45746135176024044,0.018463447859096288,0.0337484879431814
TRXUSDT,0.0007149982801544299,0.020275681976856,0.04547866678934157
VIDTUSDT,0.1469625206512735,0.02355840603507815,0.04448124672167272
