asset,correlation,cointegration_p_value,spread_volatility
SANDUSDT,0.5023033976551283,0.0009982917665688964,0.01890755501073155
ALPHAUSDT,0.3731660228897698,0.001365754313718759,0.022989675461640907
CHRUSDT,0.39532312812370607,0.005163172605821413,0.020323691796417104
XLMUSDT,-0.0004951851857980825,0.005287468292113382,0.02417249006201442
ACHUSDT,0.3524644077339448,0.00612148234282667,0.025173405994310147
TRXUSDT,-0.0003745328979136139,0.00715612450925309,0.025916358960628282
ALGOUSDT,0.461741099081852,0.008107706986615473,0.023426625424288326
ADAUSDT,-0.0009160299781162217,0.009569046064254499,0.019621923481376667
BANDUSDT,0.42365263738147024,0.018055952881728884,0.030154838227663402
VIDTUSDT,0.13137218337719941,0.02008129383559973,0.026986935255903316
