asset,correlation,cointegration_p_value,spread_volatility
APTUSDT,0.5230934893323089,0.004386185385442602,0.6397383594828508
MASKUSDT,0.4610171478104104,0.020170313716062822,0.47112191826113764
DOTUSDT,0.0006241499333781826,0.022660075983939265,0.39600923029278173
ALPHAUSDT,0.4344483446221992,0.02548213444378592,0.4662537832589792
DOGEUSDT,0.0020284893086507864,0.029183157335711432,0.4909188872368259
ALGOUSDT,0.6478906335491734,0.030334057473347956,0.4907259734119604
BANDUSDT,0.4350890609503396,0.03169609432518757,0.4981759891954557
ACHUSDT,0.47333807694037316,0.03191990079790414,0.4938259956580884
XLMUSDT,0.0010385995138459223,0.032057933284594914,0.49860213655229024
PERPUSDT,0.42200821580962916,0.032181587478554464,0.49974352006390355
