asset,correlation,cointegration_p_value,spread_volatility
PERPUSDT,0.001505528885725302,0.0035428215911834145,0.020391424723694707
DASHUSDT,0.001548382256662942,0.0040410035018886405,0.018162512385043808
APTUSDT,0.0002181047272832539,0.004700890139188053,0.018369356664713097
TRXUSDT,0.560908143019944,0.004945244283062251,0.019957603604915893
ACHUSDT,0.0012205127753429983,0.007182621678768047,0.016916097768382002
ALGOUSDT,0.0014064586013200764,0.00765732119301014,0.019756531107159296
ADAUSDT,0.6063607116161921,0.018378421034525565,0.016691888489813653
BCHUSDT,0.002645421692519266,0.02630997710060392,0.0140456691604731
BANDUSDT,0.0010153488045318339,0.026541505915576614,0.025684841686155573
EOSUSDT,0.0018017904394162772,0.03558751918236817,0.49401452143452734
